movieId,title,genres,rating,rating_count
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.921239561324077,49695
2,Jumanji (1995),Adventure|Children|Fantasy,3.2119768016904193,22243
3,Grumpier Old Men (1995),Comedy|Romance,3.1510404397330194,12735
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.8613933236574747,2756
5,Father of the Bride Part II (1995),Comedy,3.064591727653976,12161
6,Heat (1995),Action|Crime|Thriller,3.8349303318130468,23899
7,Sabrina (1995),Comedy|Romance,3.3664840675873777,12961
8,Tom and Huck (1995),Adventure|Children,3.142049469964664,1415
9,Sudden Death (1995),Action,3.0049242424242424,3960
10,GoldenEye (1995),Action|Adventure|Thriller,3.430029305292191,29005
11,"American President, The (1995)",Comedy|Drama|Romance,3.667712806959586,18162
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.6197659297789335,3845
13,Balto (1995),Adventure|Animation|Children,3.272416153319644,1461
14,Nixon (1995),Drama,3.432082364662903,6022
15,Cutthroat Island (1995),Action|Adventure|Romance,2.7219931271477664,2910
16,Casino (1995),Crime|Drama,3.7874554444061173,17394
17,Sense and Sensibility (1995),Drama|Romance,3.9685730875308463,20667
18,Four Rooms (1995),Comedy,3.3736305977320775,5203
19,Ace Ventura: When Nature Calls (1995),Comedy,2.6074123603018435,20938
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.8807541625857005,4084
21,Get Shorty (1995),Comedy|Crime|Thriller,3.581688505556477,24116
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.319399677679291,9928
23,Assassins (1995),Action|Crime|Thriller,3.1482352941176472,4250
24,Powder (1995),Drama|Sci-Fi,3.199849454271735,7971
25,Leaving Las Vegas (1995),Drama|Romance,3.689509581032803,21553
26,Othello (1995),Drama,3.628856624319419,2755
27,Now and Then (1995),Children|Drama,3.413520097442144,1642
28,Persuasion (1995),Drama|Romance,4.057545973367152,3154
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.952230046948357,8520
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.633879781420765,1281
31,Dangerous Minds (1995),Drama,3.250344462109168,9435
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.8980546909737663,44980
33,Wings of Courage (1995),Adventure|Romance|IMAX,3.0076923076923077,65
34,Babe (1995),Children|Drama,3.6430940939389242,32255
35,Carrington (1995),Drama|Romance,3.5016744809109177,1493
36,Dead Man Walking (1995),Crime|Drama,3.9427170935652844,20809
37,Across the Sea of Time (1995),Documentary|IMAX,3.0176470588235293,85
38,It Takes Two (1995),Children|Comedy,2.857789855072464,552
39,Clueless (1995),Comedy|Romance,3.413632208425383,26254
40,"Cry, the Beloved Country (1995)",Drama,3.646726862302483,886
41,Richard III (1995),Drama|War,3.8521006611217743,4689
42,Dead Presidents (1995),Action|Crime|Drama,3.0551276854479124,2467
43,Restoration (1995),Drama,3.4684561128526648,2552
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.653874918201365,10697
45,To Die For (1995),Comedy|Drama|Thriller,3.3843613567670436,8933
46,How to Make an American Quilt (1995),Drama|Romance,3.2748829953198126,3205
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.053492566302111,43249
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9461137513414073,13046
49,When Night Is Falling (1995),Drama|Romance,3.5847457627118646,236
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.334372207803259,47006
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.541148068669528,9320
53,Lamerica (1994),Adventure|Drama,3.6966666666666668,150
54,"Big Green, The (1995)",Children|Comedy,2.8546025104602513,956
55,Georgia (1995),Drama,3.241214057507987,939
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,1.8714285714285714,70
57,Home for the Holidays (1995),Drama,3.324518245182452,2439
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3.978396397956533,11549
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.56020942408377,191
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.114446380484714,6313
61,Eye for an Eye (1996),Drama|Thriller,3.3231039017974573,2281
62,Mr. Holland's Opus (1995),Drama,3.7318249832309993,19381
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3.06662382176521,2334
64,Two if by Sea (1996),Comedy|Romance,2.829817833173538,2086
65,Bio-Dome (1996),Comedy,2.3942228618421053,4864
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.144242935470266,2371
67,Two Bits (1995),Drama,3.35,170
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.4369951534733443,1238
69,Friday (1995),Comedy,3.560634328358209,4288
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.2774543738200124,12712
71,Fair Game (1995),Action,2.3552123552123554,1295
72,Kicking and Screaming (1995),Comedy|Drama,3.502439024390244,1230
73,"Misérables, Les (1995)",Drama|War,3.8067681895093064,2955
74,Bed of Roses (1996),Drama|Romance,3.3022196926579395,3514
75,Big Bully (1996),Comedy|Drama,2.4623655913978495,558
76,Screamers (1995),Action|Sci-Fi|Thriller,3.0090236686390535,3380
77,Nico Icon (1995),Documentary,3.429864253393665,221
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.180668841761827,1226
79,"Juror, The (1996)",Drama|Thriller,3.1285456187895213,5535
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.7243478260869565,575
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.267373013399813,3209
82,Antonia's Line (Antonia) (1995),Comedy|Drama,4.004925137903862,2538
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.653198653198653,594
84,Last Summer in the Hamptons (1995),Comedy|Drama,3.4177215189873418,158
85,Angels and Insects (1995),Drama|Romance,3.531134856300663,2714
86,White Squall (1996),Action|Adventure|Drama,3.483402971216342,4308
87,Dunston Checks In (1996),Children|Comedy,2.3596311475409837,976
88,Black Sheep (1996),Comedy,3.1076274671052633,4864
89,Nick of Time (1995),Action|Thriller,3.139821373575608,3247
90,"Journey of August King, The (1995)",Drama,3.357476635514019,214
92,Mary Reilly (1996),Drama|Horror|Thriller,2.8541033434650456,2303
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.528738555442523,1966
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.526923076923077,4030
95,Broken Arrow (1996),Action|Adventure|Thriller,3.0946435034382915,22104
96,In the Bleak Midwinter (1995),Comedy|Drama,3.6873706004140785,483
97,"Hate (Haine, La) (1995)",Crime|Drama,3.9964340295466125,1963
98,Shopping (1994),Action|Thriller,2.4876543209876543,81
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.105371900826446,726
100,City Hall (1996),Drama|Thriller,3.22138517618469,4115
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.786295951605398,4298
102,Mr. Wrong (1996),Comedy,2.4294678714859437,1992
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,3.2691968225948806,1133
104,Happy Gilmore (1996),Comedy,3.4170806586659226,17915
105,"Bridges of Madison County, The (1995)",Drama|Romance,3.326299376299376,9620
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.4440298507462686,134
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.2153387703889584,6376
108,Catwalk (1996),Documentary,3.092,125
110,Braveheart (1995),Action|Drama|War,4.042533802004873,53769
111,Taxi Driver (1976),Crime|Drama|Thriller,4.110575548384461,24481
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.412573591253154,11890
113,Before and After (1996),Drama|Mystery,3.1092745638200183,1089
114,Margaret's Museum (1995),Drama,3.619433198380567,247
116,Anne Frank Remembered (1995),Documentary,3.9373024236037937,949
